ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
12207-8,January,40+40/2/40/110x80,31300,6.0,5752.336,12.5,12.26173158,5047,33297.87234,34797.6511,5047.0,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6.0,5883.568,12.5,64.12041129,1952,33297.87234,34797.6511,2111.0,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6.0,3094.888,12.5,24.13295732,2207,33297.87234,34797.6511,2348.0,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6.0,5894.504,12.5,14.734132,5026,33297.87234,34797.6511,5026.0,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6.0,5850.76,12.5,21.46319453,4391,33297.87234,34797.6511,4595.0,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6.0,5905.44,12.5,22.69839335,4340,33297.87234,34797.6511,4565.0,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6.0,5905.44,12.5,33.04478582,3754,33297.87234,34797.6511,3954.0,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6.0,38286.936,12.5,27.79260268,TOTAL,33297.87234,34797.6511,27646.0,285,27982,double,80,110,80
12228-1,January,40x40/110x90,10450,7.0,1443.552,14.5,9.80581233,1302,11236.55914,12017.35043,1302.0,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7.0,1749.76,14.5,16.33138259,1464,11236.55914,12017.35043,1464.0,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7.0,2405.92,14.5,16.70545987,2004,11236.55914,12017.35043,2004.0,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7.0,2427.792,14.5,17.78537865,1996,11236.55914,12017.35043,1996.0,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7.0,1640.4,14.5,16.30090222,1373,11236.55914,12017.35043,1373.0,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7.0,1749.76,14.5,14.84546452,1490,11236.55914,12017.35043,1490.0,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7.0,1640.4,14.5,15.26456962,1390,11236.55914,12017.35043,1390.0,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7.0,13057.584,14.5,15.61226028,TOTAL,11236.55914,12017.35043,11019.0,39,10659,40,40,110,90
12249-6(B),January,40x40/110x80,900,11.5,831.136,12.5,25.52362068,619,1016.949153,1062.753843,619.0,0,0,40,40,110,80
12249-6(B),January,40x40/110x80,900,11.5,1071.728,12.5,15.18370333,909,1016.949153,1062.753843,909.0,0,0,40,40,110,80
12249-6(B),January,40x40/110x80,900,11.5,1902.864,12.5,19.69998907,TOTAL,1016.949153,1062.753843,1528.0,0,1389,40,40,110,80
12277-5,January,40x40/130x80,8000,8.0,2624.64,14.0,10.46391124,2350,8695.652174,9245.815159,2350.0,0,0,40,40,130,80
12277-5,January,40x40/130x80,8000,8.0,2493.408,14.0,10.76470437,2225,8695.652174,9245.815159,2225.0,0,0,40,40,130,80
12277-5,January,40x40/130x80,8000,8.0,2515.28,14.0,10.42746732,2253,8695.652174,9245.815159,2253.0,0,0,40,40,130,80
12277-5,January,40x40/130x80,8000,8.0,2460.6,14.0,14.0047143,2116,8695.652174,9245.815159,2116.0,0,0,40,40,130,80
12277-5,January,40x40/130x80,8000,8.0,10093.928,14.0,11.39227464,TOTAL,8695.652174,9245.815159,8944.0,58,8795,40,40,130,80
12284-1,January,50x50/140x70,28000,8.0,2241.88,9.0,12.7517976,1956,30434.78261,30582.31168,1956.0,0,0,50,50,140,70
12317-1,January,50x50/140x70,26000,8.0,2405.92,9.0,14.79350934,2050,28260.86957,28397.86085,2050.0,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2427.792,9.1,13.4192715,2050,3808.487486,3831.158751,2102.0,0,0,50,50,140,70
